Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Avg Power,Max Power,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,distance,time_seconds,pace_seconds_per_unit,predicted_seconds,residual_seconds,actual_hms,predicted_hms
6/26/25 7:57,4.12,423,0:50:01,154,171,3.0,160,165,12:08,11:06,230,262,0.83,12:07,224,219,327,"7,986",01:24.1,5.0,0:49:54,0:50:01,883,929,4.12,3001.0,728.3980582524272,2882.602451004293,118.39754899570698,00:50:01,00:48:03
6/25/25 7:51,4.0,389,0:37:13,175,197,4.2,160,173,9:18,7:26,171,161,1.08,9:26,287,277,398,"5,990",00:02.2,5.0,0:36:51,0:40:30,901,921,4.0,2233.0,558.25,2802.1264888408105,-569.1264888408105,00:37:13,00:46:42
6/24/25 7:12,4.19,430,0:50:10,154,174,3.1,156,166,11:58,10:43,256,262,0.86,12:02,224,221,317,"7,902",02:23.1,5.0,0:49:46,0:52:26,860,928,4.19,3010.0,718.3770883054892,2929.50104209547,80.49895790453002,00:50:10,00:48:50
6/21/25 7:00,7.01,706,1:24:40,157,176,3.3,159,165,12:05,10:16,148,141,0.84,12:13,218,216,301,"13,438",00:03.1,8.0,1:24:27,1:25:16,799,860,7.01,5080.0,724.679029957204,4796.144785943093,283.85521405690724,01:24:40,01:19:56
6/20/25 7:59,4.01,408,0:49:31,154,177,2.9,158,167,12:22,10:41,223,213,0.82,12:20,220,215,327,"7,834",00:03.8,5.0,0:49:27,0:49:31,879,928,4.01,2971.0,740.8977556109726,2808.836658690315,162.16334130968517,00:49:31,00:46:49
6/19/25 6:55,5.19,536,0:55:48,174,202,4.4,146,177,10:45,6:14,46,43,1.03,10:58,268,234,436,"8,330",00:08.9,14.0,0:51:53,1:01:45,934,971,5.19,3348.0,645.0867052023121,3596.129998275849,-248.12999827584918,00:55:48,00:59:56
6/18/25 7:26,4.0,417,0:51:43,159,175,2.7,157,166,12:55,11:33,243,246,0.79,12:52,211,207,299,"8,106",00:02.0,5.0,0:51:36,0:51:43,880,935,4.0,3103.0,775.75,2802.1264888408105,300.87351115918955,00:51:43,00:46:42
6/17/25 7:15,3.92,395,0:50:02,149,170,2.6,156,166,12:46,11:33,233,243,0.81,12:42,216,211,301,"7,794",0:11:43,4.0,0:49:57,0:50:02,878,932,3.92,3002.0,765.8163265306123,2748.4195589748942,253.58044102510576,00:50:02,00:45:48
6/15/25 8:48,3.52,378,0:42:00,162,181,3.1,157,166,11:56,10:23,223,200,0.86,11:51,228,224,328,"6,564",06:07.2,4.0,0:41:55,0:44:36,873,932,3.52,2520.0,715.9090909090909,2479.1719870490883,40.82801295091167,00:42:00,00:41:19
6/13/25 8:42,4.01,421,0:47:58,157,183,3.1,156,167,11:58,10:39,236,259,0.86,11:59,229,222,335,"7,500",00:04.5,5.0,0:47:13,0:47:58,880,927,4.01,2878.0,717.705735660848,2808.836658690315,69.16334130968517,00:47:58,00:46:49
6/12/25 7:23,4.08,420,0:50:03,153,177,3.0,157,171,12:16,8:19,262,266,0.83,12:11,223,218,326,"7,848",01:01.9,5.0,0:49:58,0:50:03,875,929,4.08,3003.0,736.0294117647059,2855.78823336455,147.2117666354502,00:50:03,00:47:36
6/11/25 7:10,4.21,437,0:50:00,158,174,3.1,157,163,11:52,10:36,200,253,0.87,11:57,226,221,317,"7,826",02:29.8,5.0,0:49:49,0:51:24,881,951,4.21,3000.0,712.5890736342043,2942.894560428285,57.105439571715124,00:50:00,00:49:03
6/10/25 6:57,4.35,437,0:50:19,151,175,3.1,157,167,11:33,10:05,272,282,0.89,11:31,234,229,338,"7,900",04:04.0,5.0,0:50:16,0:50:29,871,928,4.35,3019.0,694.0229885057472,3036.5749552167026,-17.57495521670262,00:50:19,00:50:37
6/8/25 6:59,7.01,737,1:21:06,164,185,3.7,156,163,11:35,10:01,397,453,0.89,11:34,235,231,344,"12,546",00:03.2,8.0,1:20:52,1:22:40,869,936,7.01,4866.0,694.151212553495,4796.144785943093,69.85521405690724,01:21:06,01:19:56
6/6/25 7:03,4.31,440,0:50:27,154,173,3.1,156,162,11:42,10:34,256,262,0.88,11:42,230,226,321,"7,846",03:26.9,5.0,0:50:17,0:50:46,877,927,4.31,3027.0,702.3201856148493,3009.822255033297,17.177744966702903,00:50:27,00:50:10
6/5/25 6:31,4.17,424,0:50:03,153,173,3.0,156,163,12:00,10:46,233,236,0.86,12:02,225,220,335,"7,804",02:06.7,5.0,0:49:46,0:51:00,879,935,4.17,3003.0,720.1438848920864,2916.104833179645,86.89516682035492,00:50:03,00:48:36
6/4/25 6:40,4.02,408,0:49:43,152,172,2.8,156,164,12:21,11:01,213,240,0.84,12:23,217,213,329,"7,704",00:16.0,5.0,0:49:39,0:49:43,870,921,4.02,2983.0,742.039800995025,2815.546124402671,167.453875597329,00:49:43,00:46:56
6/3/25 6:33,4.15,432,0:50:01,159,176,3.0,156,163,12:04,10:46,217,240,0.86,12:04,222,219,310,"7,746",01:37.8,5.0,0:49:55,0:50:01,873,921,4.15,3001.0,723.1325301204819,2902.7059202318383,98.29407976816174,00:50:01,00:48:23
6/2/25 6:37,4.16,425,0:50:09,154,170,3.0,156,163,12:03,10:58,223,253,0.86,12:06,224,220,319,"7,812",01:45.7,5.0,0:49:59,0:50:09,871,924,4.16,3009.0,723.3173076923076,2909.4057155554483,99.5942844445517,00:50:09,00:48:29
6/1/25 6:36,3.72,382,0:45:01,156,176,2.9,156,162,12:06,10:43,174,210,0.85,12:08,223,218,332,"6,972",08:30.1,4.0,0:44:57,0:45:01,882,951,3.72,2701.0,726.0752688172042,2613.9481372140444,87.05186278595556,00:45:01,00:43:34
5/31/25 6:33,3.74,382,0:45:10,150,179,3.0,154,161,12:04,10:14,187,203,0.86,12:04,224,219,325,"6,914",08:43.5,4.0,0:45:04,0:45:10,888,940,3.74,2710.0,724.5989304812833,2627.4087111316676,82.59128886833241,00:45:10,00:43:47
5/30/25 10:10,1.57,140,0:33:47,107,132,0.6,94,158,21:33,15:12,92,89,0.8,--,--,--,--,"3,240",0:12:24,2.0,0:33:40,0:33:47,888,938,1.57,2027.0,1291.0828025477706,1143.9820306545275,883.0179693454725,00:33:47,00:19:04
5/25/25 8:15,2.32,206,0:47:35,107,124,0.9,91,122,20:31,17:06,174,190,0.86,--,--,--,--,"4,578",06:11.2,3.0,0:46:34,0:47:35,883,988,2.32,2855.0,1230.603448275862,1662.91869738898,1192.08130261102,00:47:35,00:27:43
5/24/25 7:08,13.02,"1,348",1:58:41,193,206,5.0,156,169,9:07,7:13,305,295,1.13,9:09,288,286,416,"18,376",00:12.0,14.0,1:58:24,1:58:41,645,767,13.02,7121.0,546.9278033794163,8679.003270352727,-1558.0032703527268,01:58:41,02:24:39
